Algorithm,Avg Queue Length,Avg Queue Length (CI95),Max Queue Length,Max Queue Length (CI95),Overflow Events,Overflow Events (CI95),Avg Latency (ms),Avg Latency (ms) (CI95),P95 Latency (ms),P95 Latency (ms) (CI95),Deadline Miss Ratio,Deadline Miss Ratio (CI95),Energy (J),Energy (J) (CI95),Cloud Spillover Frac,Cloud Spillover Frac (CI95),Throughput (tasks/slot),Throughput (tasks/slot) (CI95),Jain Fairness,Jain Fairness (CI95)
QSALB,3.583125,1.531104603097058,23.5,8.332058569165245,0.0,0.0,113.3418522380276,1.0255540059416393,154.98692973988216,1.7724433327028504,0.126234375,0.005619082477649263,34448.34350046094,223.1160554054325,0.20074999999999998,0.006046800807038379,39.948125000000005,0.03389447779506268,0.307436659712519,0.006408636929962115
QSALB-P,3.9556250000000004,1.753136418144635,27.0,10.587369833910591,0.0,0.0,114.21587409097714,1.2997414058378742,155.80186022532877,2.2055974498517634,0.129375,0.007265809486905087,33637.500484936565,173.50667212267902,0.18190625,0.005502525698486107,39.945625,0.03501443452349293,0.33058817369695814,0.005574957138537946
DRL-O,8.48375,1.97228999959438,47.25,9.978622149375132,0.0,0.0,132.2397932798766,1.2470363019102353,209.24737305316478,4.098571733223949,0.19584375,0.004152306023464556,40416.37090566961,334.4860917859227,0.324359375,0.009651707123127233,39.93875,0.04591941310600574,0.19520061850535259,0.007272294287727823
GMQ,32.1775,7.0354286585822186,119.625,33.449326226398036,0.0,0.0,257.88286528801007,23.40982747087483,919.9862200299694,148.15892325832777,0.35096875,0.013199319170415566,29154.23171128746,446.07303907059907,0.08546875,0.005745339551540882,39.778125,0.12097766581067755,0.6221363149018347,0.02665289013423144
CFOP,210.434375,4.503853041632795,442.375,12.587987329196036,0.0,0.0,445.97729853365877,14.652460260295815,1013.2242479596118,32.77661713890293,0.6751562499999999,0.0133542458721,31805.679452112414,497.68607481824733,0.046265625,0.024978821412160845,38.928749999999994,0.40522881499222135,0.34806516210683114,0.010071281887774348
EAO,280.316875,4.8474559054853685,556.125,36.4476394983269,0.0,0.0,935.56806840515,32.00211916796925,2627.9539585414577,54.872756907582,0.7828124999999999,0.00880284790564963,20344.30461124981,571.2125333759761,0.0,0.0,38.49625,0.46224559759937167,0.7268056212218836,0.03347796957701908
LFO,353.69625,4.454360952201781,595.625,18.497789732830242,0.0,0.0,498.27047522248375,17.42136458639701,900.0111020542319,27.862045967429786,0.7582656249999999,0.015380001841372622,33256.93910781817,495.43369321977843,0.06539062500000001,0.013983979016740011,38.084374999999994,0.4554418959922325,0.24303388087050357,0.00807724080594757
LEO,176.116875,4.994169442021866,220.0,0.0,3860.0,28.62204045836005,1707.8199757168422,31.791452574833833,3244.1390109890112,18.36971049475233,0.98340625,0.0027570276680693646,8743.856999999989,36.33508980068913,0.0,0.0,19.755625,0.09297903325481544,0.6248284728273664,9.479152151792953e-05
